Date,Location,Cond Type,Value
9/4/2020,K-1,STAFF_ISO,0
9/4/2020,2-3,STAFF_ISO,3
9/4/2020,INT,STAFF_ISO,1
9/4/2020,JH,STAFF_ISO,1
9/4/2020,HS,STAFF_ISO,1
9/4/2020,Alt,STAFF_ISO,0
9/4/2020,SS,STAFF_ISO,1
9/4/2020,Other,STAFF_ISO,3
9/4/2020,K-1,STUD_ISO,0
9/4/2020,2-3,STUD_ISO,0
9/4/2020,INT,STUD_ISO,1
9/4/2020,JH,STUD_ISO,6
9/4/2020,HS,STUD_ISO,5
9/4/2020,Alt,STUD_ISO,0
9/4/2020,SS,STUD_ISO,0
9/4/2020,Other,STUD_ISO,0
9/4/2020,K-1,STAFF_Q,2
9/4/2020,2-3,STAFF_Q,0
9/4/2020,INT,STAFF_Q,1
9/4/2020,JH,STAFF_Q,3
9/4/2020,HS,STAFF_Q,1
9/4/2020,Alt,STAFF_Q,0
9/4/2020,SS,STAFF_Q,0
9/4/2020,Other,STAFF_Q,5
9/4/2020,K-1,STUD_Q,5
9/4/2020,2-3,STUD_Q,7
9/4/2020,INT,STUD_Q,7
9/4/2020,JH,STUD_Q,29
9/4/2020,HS,STUD_Q,51
9/4/2020,Alt,STUD_Q,0
9/4/2020,SS,STUD_Q,0
9/4/2020,Other,STUD_Q,0
9/4/2020,K-1,STAFF_REC,0
9/4/2020,2-3,STAFF_REC,0
9/4/2020,INT,STAFF_REC,0
9/4/2020,JH,STAFF_REC,0
9/4/2020,HS,STAFF_REC,0
9/4/2020,Alt,STAFF_REC,0
9/4/2020,SS,STAFF_REC,0
9/4/2020,Other,STAFF_REC,2
9/4/2020,K-1,STUD_REC,0
9/4/2020,2-3,STUD_REC,1
9/4/2020,INT,STUD_REC,0
9/4/2020,JH,STUD_REC,1
9/4/2020,HS,STUD_REC,5
9/4/2020,Alt,STUD_REC,0
9/4/2020,SS,STUD_REC,0
9/4/2020,Other,STUD_REC,0
9/9/2020,K-1,STAFF_ISO,0
9/9/2020,2-3,STAFF_ISO,1
9/9/2020,INT,STAFF_ISO,1
9/9/2020,JH,STAFF_ISO,2
9/9/2020,HS,STAFF_ISO,3
9/9/2020,Alt,STAFF_ISO,0
9/9/2020,Other,STAFF_ISO,2
9/9/2020,K-1,STUD_ISO,1
9/9/2020,2-3,STUD_ISO,0
9/9/2020,INT,STUD_ISO,1
9/9/2020,JH,STUD_ISO,5
9/9/2020,HS,STUD_ISO,2
9/9/2020,Alt,STUD_ISO,0
9/9/2020,Other,STUD_ISO,
9/9/2020,K-1,STAFF_Q,1
9/9/2020,2-3,STAFF_Q,1
9/9/2020,INT,STAFF_Q,3
9/9/2020,JH,STAFF_Q,2
9/9/2020,HS,STAFF_Q,3
9/9/2020,Alt,STAFF_Q,0
9/9/2020,Other,STAFF_Q,0
9/9/2020,K-1,STUD_Q,8
9/9/2020,2-3,STUD_Q,11
9/9/2020,INT,STUD_Q,23
9/9/2020,JH,STUD_Q,46
9/9/2020,HS,STUD_Q,83
9/9/2020,Alt,STUD_Q,0
9/9/2020,Other,STUD_Q,
9/9/2020,K-1,STAFF_REC,0
9/9/2020,2-3,STAFF_REC,1
9/9/2020,INT,STAFF_REC,1
9/9/2020,JH,STAFF_REC,1
9/9/2020,HS,STAFF_REC,0
9/9/2020,Alt,STAFF_REC,0
9/9/2020,Other,STAFF_REC,4
9/9/2020,K-1,STUD_REC,0
9/9/2020,2-3,STUD_REC,1
9/9/2020,INT,STUD_REC,0
9/9/2020,JH,STUD_REC,2
9/9/2020,HS,STUD_REC,10
9/9/2020,Alt,STUD_REC,0
9/9/2020,Other,STUD_REC,
9/17/2020,K-1,STAFF_ISO,1
9/17/2020,2-3,STAFF_ISO,0
9/17/2020,INT,STAFF_ISO,1
9/17/2020,JH,STAFF_ISO,1
9/17/2020,HS,STAFF_ISO,4
9/17/2020,Alt,STAFF_ISO,0
9/17/2020,Other,STAFF_ISO,1
9/17/2020,K-1,STUD_ISO,0
9/17/2020,2-3,STUD_ISO,1
9/17/2020,INT,STUD_ISO,3
9/17/2020,JH,STUD_ISO,1
9/17/2020,HS,STUD_ISO,9
9/17/2020,Alt,STUD_ISO,0
9/17/2020,Other,STUD_ISO,
9/17/2020,K-1,STAFF_Q,3
9/17/2020,2-3,STAFF_Q,1
9/17/2020,INT,STAFF_Q,3
9/17/2020,JH,STAFF_Q,2
9/17/2020,HS,STAFF_Q,2
9/17/2020,Alt,STAFF_Q,0
9/17/2020,Other,STAFF_Q,0
9/17/2020,K-1,STUD_Q,3
9/17/2020,2-3,STUD_Q,8
9/17/2020,INT,STUD_Q,41
9/17/2020,JH,STUD_Q,5
9/17/2020,HS,STUD_Q,75
9/17/2020,Alt,STUD_Q,0
9/17/2020,Other,STUD_Q,
9/17/2020,K-1,STAFF_REC,1
9/17/2020,2-3,STAFF_REC,2
9/17/2020,INT,STAFF_REC,1
9/17/2020,JH,STAFF_REC,1
9/17/2020,HS,STAFF_REC,4
9/17/2020,Alt,STAFF_REC,0
9/17/2020,Other,STAFF_REC,6
9/17/2020,K-1,STUD_REC,2
9/17/2020,2-3,STUD_REC,1
9/17/2020,INT,STUD_REC,1
9/17/2020,JH,STUD_REC,7
9/17/2020,HS,STUD_REC,21
9/17/2020,Alt,STUD_REC,0
9/17/2020,Other,STUD_REC,
9/24/2020,K-1,STAFF_ISO,1
9/24/2020,2-3,STAFF_ISO,0
9/24/2020,INT,STAFF_ISO,0
9/24/2020,JH,STAFF_ISO,0
9/24/2020,HS,STAFF_ISO,0
9/24/2020,Alt,STAFF_ISO,0
9/24/2020,Other,STAFF_ISO,0
9/24/2020,K-1,STUD_ISO,0
9/24/2020,2-3,STUD_ISO,0
9/24/2020,INT,STUD_ISO,1
9/24/2020,JH,STUD_ISO,1
9/24/2020,HS,STUD_ISO,2
9/24/2020,Alt,STUD_ISO,0
9/24/2020,Other,STUD_ISO,
9/24/2020,K-1,STAFF_Q,3
9/24/2020,2-3,STAFF_Q,1
9/24/2020,INT,STAFF_Q,6
9/24/2020,JH,STAFF_Q,1
9/24/2020,HS,STAFF_Q,0
9/24/2020,Alt,STAFF_Q,0
9/24/2020,Other,STAFF_Q,0
9/24/2020,K-1,STUD_Q,6
9/24/2020,2-3,STUD_Q,5
9/24/2020,INT,STUD_Q,23
9/24/2020,JH,STUD_Q,6
9/24/2020,HS,STUD_Q,23
9/24/2020,Alt,STUD_Q,2
9/24/2020,Other,STUD_Q,
9/24/2020,K-1,STAFF_REC,1
9/24/2020,2-3,STAFF_REC,2
9/24/2020,INT,STAFF_REC,2
9/24/2020,JH,STAFF_REC,3
9/24/2020,HS,STAFF_REC,7
9/24/2020,Alt,STAFF_REC,0
9/24/2020,Other,STAFF_REC,7
9/24/2020,K-1,STUD_REC,3
9/24/2020,2-3,STUD_REC,1
9/24/2020,INT,STUD_REC,5
9/24/2020,JH,STUD_REC,6
9/24/2020,HS,STUD_REC,33
9/24/2020,Alt,STUD_REC,0
9/24/2020,Other,STUD_REC,
